epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,463.286,0.19576,1.94322,0.9848,0.65001,0.70945,0.73829,0.7277,0.23247,1.02467,0.39761,0.000237812,0.000237812,0.000237812
2,920.125,0.09956,0.90987,0.89352,0.72902,0.73035,0.80311,0.77874,0.26747,0.94326,0.399,0.000428706,0.000428706,0.000428706
3,1372.78,0.08812,0.72904,0.88357,0.7959,0.77483,0.85353,0.82898,0.2838,0.77559,0.43219,0.000572477,0.000572477,0.000572477
4,1823,0.0751,0.61172,0.8788,0.83766,0.79876,0.89222,0.87335,0.25394,0.6646,0.42544,0.000501942,0.000501942,0.000501942
5,2275.19,0.06246,0.51755,0.8728,0.85633,0.81095,0.9083,0.87457,0.30904,0.6821,0.47085,0.000431256,0.000431256,0.000431256
6,2725.92,0.05454,0.45087,0.86941,0.89914,0.86959,0.94689,0.92809,0.25808,0.53669,0.4286,0.00036057,0.00036057,0.00036057
7,3164.86,0.04858,0.39119,0.86508,0.90898,0.88822,0.95492,0.93631,0.24024,0.51899,0.38571,0.000289884,0.000289884,0.000289884
8,3607.86,0.04223,0.34665,0.86625,0.91741,0.90619,0.96511,0.96053,0.15851,0.44492,0.31247,0.000219198,0.000219198,0.000219198
9,4053.59,inf,0.30173,0.86197,0.93513,0.91404,0.97198,0.96412,0.17623,0.43038,0.31658,0.000148512,0.000148512,0.000148512
10,4498.63,0.03021,0.25276,0.86255,0.94309,0.927,0.97734,0.97125,0.17683,0.43251,0.31421,7.7826e-05,7.7826e-05,7.7826e-05
